Group,Month,Unemployment Rate,Year
Total 18+,Jan,0.033542807585749554,2018
Youth 18-26,Jan,0.0857804345670169,2018
Youth 27-34,Jan,0.0438956751049632,2018
Total 18+,Feb,0.033528440918112704,2018
Youth 18-26,Feb,0.0761519533435277,2018
Youth 27-34,Feb,0.044518389918591306,2018
Total 18+,Mar,0.032502259458900284,2018
Youth 18-26,Mar,0.06934201286555561,2018
Youth 27-34,Mar,0.0410582954340005,2018
Total 18+,Apr,0.027828516091395326,2018
Youth 18-26,Apr,0.06645045262509057,2018
Youth 27-34,Apr,0.03804100724756053,2018
Total 18+,May,0.02545518639336677,2018
Youth 18-26,May,0.07051486740899333,2018
Youth 27-34,May,0.03325842169613202,2018
Total 18+,Jun,0.029638782889157098,2018
Youth 18-26,Jun,0.08088484792298518,2018
Youth 27-34,Jun,0.03667794841860346,2018
Total 18+,Jul,0.03121290038122892,2018
Youth 18-26,Jul,0.07239070945370059,2018
Youth 27-34,Jul,0.035727545563828116,2018
Total 18+,Aug,0.029498990712456805,2018
Youth 18-26,Aug,0.07053834838470685,2018
Youth 27-34,Aug,0.04118706269230599,2018
Total 18+,Sep,0.026311436063713573,2018
Youth 18-26,Sep,0.06912874263853185,2018
Youth 27-34,Sep,0.032929974033286194,2018
Total 18+,Oct,0.026336236015817957,2018
Youth 18-26,Oct,0.06933633928774592,2018
Youth 27-34,Oct,0.03516608963051677,2018
Total 18+,Nov,0.02654517221811359,2018
Youth 18-26,Nov,0.06450354595831712,2018
Youth 27-34,Nov,0.033210119896281705,2018
Total 18+,Dec,0.02853831062037075,2018
Youth 18-26,Dec,0.06804517160104673,2018
Youth 27-34,Dec,0.03647129999575859,2018
Total 18+,Jan,0.033272738740381114,2019
Youth 18-26,Jan,0.08494002698873368,2019
Youth 27-34,Jan,0.042375618316115866,2019
Total 18+,Feb,0.029874877972671885,2019
Youth 18-26,Feb,0.0760805333210958,2019
Youth 27-34,Feb,0.04384539419859573,2019
Total 18+,Mar,0.02937728526248397,2019
Youth 18-26,Mar,0.07184107693141953,2019
Youth 27-34,Mar,0.04010771531767795,2019
Total 18+,Apr,0.023905846505237246,2019
Youth 18-26,Apr,0.06122487645492501,2019
Youth 27-34,Apr,0.03523724318001101,2019
Total 18+,May,0.023944454862040145,2019
Youth 18-26,May,0.07106393909575731,2019
Youth 27-34,May,0.028824801530050403,2019
Total 18+,Jun,0.027483641618343466,2019
Youth 18-26,Jun,0.07398046521211718,2019
Youth 27-34,Jun,0.033346216537077235,2019
Total 18+,Jul,0.029644967672771767,2019
Youth 18-26,Jul,0.07361447350708449,2019
Youth 27-34,Jul,0.03643412272660993,2019
Total 18+,Aug,0.028809543959677303,2019
Youth 18-26,Aug,0.07080585068420124,2019
Youth 27-34,Aug,0.037504890352948635,2019
Total 18+,Sep,0.024791809294469308,2019
Youth 18-26,Sep,0.0662871537930457,2019
Youth 27-34,Sep,0.03165684495154827,2019
Total 18+,Oct,0.023760671040386733,2019
Youth 18-26,Oct,0.06557899337828992,2019
Youth 27-34,Oct,0.03416112181188748,2019
Total 18+,Nov,0.02407598546054314,2019
Youth 18-26,Nov,0.06400434944587555,2019
Youth 27-34,Nov,0.03183353239567907,2019
Total 18+,Dec,0.024905784873996178,2019
Youth 18-26,Dec,0.06452078956210085,2019
Youth 27-34,Dec,0.033344399796334016,2019
Total 18+,Jan,0.02892075681982362,2020
Youth 18-26,Jan,0.08106460126902992,2020
Youth 27-34,Jan,0.04013593300670693,2020
Total 18+,Feb,0.02840024144915286,2020
Youth 18-26,Feb,0.06894164372197444,2020
Youth 27-34,Feb,0.04159685627820243,2020
Total 18+,Mar,0.03542183978537444,2020
Youth 18-26,Mar,0.08321683254635746,2020
Youth 27-34,Mar,0.04322313577046503,2020
Total 18+,Apr,0.12046384326390654,2020
Youth 18-26,Apr,0.24158757585874002,2020
Youth 27-34,Apr,0.136432648414869,2020
Total 18+,May,0.10344474667478608,2020
Youth 18-26,May,0.22332357974611847,2020
Youth 27-34,May,0.12689156745772817,2020
Total 18+,Jun,0.08750265604481922,2020
Youth 18-26,Jun,0.19068971748260224,2020
Youth 27-34,Jun,0.11377247400097747,2020
