Group,Month,Unemployment Rate,Year
White,Jan,0.053525808990197245,2018
Black,Jan,0.11880395402821822,2018
Asian,Jan,0.040953465316808775,2018
Latinx,Jan,0.07076153109544528,2018
White,Feb,0.05303853469444631,2018
Black,Feb,0.09986615103553924,2018
Asian,Feb,0.03495340687817617,2018
Latinx,Feb,0.06308096815353555,2018
White,Mar,0.045817434950621266,2018
Black,Mar,0.09153737153408911,2018
Asian,Mar,0.05157101018330897,2018
Latinx,Mar,0.06593368455778868,2018
White,Apr,0.04461236934508496,2018
Black,Apr,0.08739090328984406,2018
Asian,Apr,0.034155617371029734,2018
Latinx,Apr,0.05585848410937161,2018
White,May,0.043055771899526064,2018
Black,May,0.08760124093716126,2018
Asian,May,0.03215958817082826,2018
Latinx,May,0.050867007117582144,2018
White,Jun,0.05154886519186873,2018
Black,Jun,0.0862183941391671,2018
Asian,Jun,0.054917992909953084,2018
Latinx,Jun,0.05971939315578797,2018
White,Jul,0.04593253152288628,2018
Black,Jul,0.08946220783232933,2018
Asian,Jul,0.04658094230904758,2018
Latinx,Jul,0.05651647030758611,2018
White,Aug,0.04840978773862935,2018
Black,Aug,0.08876708729882866,2018
Asian,Aug,0.051565575875924974,2018
Latinx,Aug,0.057603224680613595,2018
White,Sep,0.043370341875631095,2018
Black,Sep,0.07521206253858384,2018
Asian,Sep,0.05703781411617297,2018
Latinx,Sep,0.051469740971251815,2018
White,Oct,0.043207342815620574,2018
Black,Oct,0.0814114941044518,2018
Asian,Oct,0.056783819156562707,2018
Latinx,Oct,0.049359610772863716,2018
White,Nov,0.042183268946674006,2018
Black,Nov,0.07184752649963931,2018
Asian,Nov,0.04887859167000622,2018
Latinx,Nov,0.054200929898862556,2018
White,Dec,0.04461728941638808,2018
Black,Dec,0.08135273227656865,2018
Asian,Dec,0.052343870163193196,2018
Latinx,Dec,0.05106870822447657,2018
White,Jan,0.055822543633327046,2019
Black,Jan,0.09767958378849692,2019
Asian,Jan,0.0434804180406179,2019
Latinx,Jan,0.07468470752736044,2019
White,Feb,0.048661976931112176,2019
Black,Feb,0.10895402156278444,2019
Asian,Feb,0.0486629974773791,2019
Latinx,Feb,0.06514793718798705,2019
White,Mar,0.04547539995281114,2019
Black,Mar,0.0984731262566229,2019
Asian,Mar,0.04316949339576672,2019
Latinx,Mar,0.06010101368637367,2019
White,Apr,0.03957603536635005,2019
Black,Apr,0.0842584818343434,2019
Asian,Apr,0.03201200255032429,2019
Latinx,Apr,0.047523829175664736,2019
White,May,0.04122375528090473,2019
Black,May,0.08726647680845842,2019
Asian,May,0.033411432627894685,2019
Latinx,May,0.048536617019194636,2019
White,Jun,0.045749049681548304,2019
Black,Jun,0.08606401497659225,2019
Asian,Jun,0.03344144208065126,2019
Latinx,Jun,0.05084307584574662,2019
White,Jul,0.047813365773187046,2019
Black,Jul,0.08961062639725062,2019
Asian,Jul,0.03701150753457716,2019
Latinx,Jul,0.0610710936937967,2019
White,Aug,0.050227294517780366,2019
Black,Aug,0.07555120763835368,2019
Asian,Aug,0.03594686632770879,2019
Latinx,Aug,0.05476336053796063,2019
White,Sep,0.043102206457466936,2019
Black,Sep,0.07203033371535682,2019
Asian,Sep,0.0328175620458414,2019
Latinx,Sep,0.04852443827548002,2019
White,Oct,0.04076449385204495,2019
Black,Oct,0.08601118321643735,2019
Asian,Oct,0.038368113414660114,2019
Latinx,Oct,0.051034790655735955,2019
White,Nov,0.04057000561285895,2019
Black,Nov,0.07926007124310946,2019
Asian,Nov,0.029292280088944928,2019
Latinx,Nov,0.05479029491282483,2019
White,Dec,0.04122928116953606,2019
Black,Dec,0.0853922052688498,2019
Asian,Dec,0.03168732853566278,2019
Latinx,Dec,0.047576760418740476,2019
White,Jan,0.04990641581156832,2020
Black,Jan,0.10596695192205613,2020
Asian,Jan,0.044768500646753945,2020
Latinx,Jan,0.06067532378912173,2020
White,Feb,0.04531062442489837,2020
Black,Feb,0.09628995187459902,2020
Asian,Feb,0.04345602633742687,2020
Latinx,Feb,0.05493015729829676,2020
White,Mar,0.053103629357711846,2020
Black,Mar,0.1076791233281401,2020
Asian,Mar,0.049209367607388026,2020
Latinx,Mar,0.07313880752135439,2020
White,Apr,0.1772732052988598,2020
Black,Apr,0.2111626631778678,2020
Asian,Apr,0.15477268843137887,2020
Latinx,Apr,0.2085929670491512,2020
White,May,0.15796541583221985,2020
Black,May,0.21672188283649452,2020
Asian,May,0.18961449104368036,2020
Latinx,May,0.17073945110986477,2020
White,Jun,0.1368833209753653,2020
Black,Jun,0.19765349824448963,2020
Asian,Jun,0.16506923278117638,2020
Latinx,Jun,0.187721707149376,2020
